в то время;а вахтунда
надавливая;чуькьвез-чуькьвез
напирая;чуькьвез-чуькьвез
сжимая;чуькьвез-чуькьвез
чимиз-чимиз;чуькьвез-чуькьвез
без лишних разговоров переходи в нашу бригаду;чуькьтапана чи бригададиз хъша
без лишних разговоров;чуькьтапана
молча;чуькьтапана
хотя и страшно пытали;чандиз гужарнатани
хотя и страшно пытали;адай чуькьни акъатнач
он не издал ни звука;чандиз гужарнатани
он не издал ни звука;адай чуькьни акъатнач
ничего не говоря;чуькьни тавуна
молча;чуькьни тавуна
издать звук;чуькьун
пикнуть;чуькьун
сказать;чуькьун
сажать в тюрьму;дустагъдиз чуькьуьн
давать нагоняй;уьзенгар чуькьуьн
распекать;уьзенгар чуькьуьн
пожать руку;гъил кьуна чуькьуьн
сапог жмёт ногу;чекмеди квач чуькьвезва
пожимать плечами;къуьнер чуькьуьн
всадил кинжал в живот врага;душмандин руфуниз гапур чуькьвена
он засунул деньги в свой карман;ада пул вичин жибиндиз чуькьвена
нужно было оттеснить врага от города;душман шегьердивай кьулухъди чуькьвена канзавай
дал сорванцу разок по шее;женжелдин кьамуз сад чуькьвена
жать;чуькьуьн
давить;чуькьуьн
щемить;чуькьуьн
втыкать, вталкивать (кого-что-л.);чуькьуьн
совать, класть (что-л. куда-л.);чуькьуьн
наседать;чуькьуьн
теснить;чуькьуьн
ударить;чуькьуьн
стукнуть;чуькьуьн
поддать;чуькьуьн
всыпать;чуькьуьн
пастуху - поле;нехиpбандиз - чуьл
пастуху - поле;балугъчидиз - гьуьл
рыбаку - море;нехиpбандиз - чуьл
рыбаку - море;балугъчидиз - гьуьл
полевая мышь;чуьлдин кьиф
орёл-могильник;чуьлдин лекь
полевой;чуьлдин
степной;чуьлдин
полевые цветы;чуьлдин цуьквер
пустошь;чуьл
поле;чуьл
степь;чуьл
скиталец;чуьллербан
бродяга;чуьллербан
пропадать;чуьллема-чуьл хьун
исчезать;чуьллема-чуьл хьун
бескрайнее поле;чуьллема-чуьл
степь;чуьллема-чуьл
играть на чонгуре;чуьнгуьр ягъун
чунгур (народный струнный инструмент);чуьнгуьр
саз;чуьнгуьр
сращённый орех;чуьнгуьт
воровать;чуьнуьх авун
красть;чуьнуьх авун
прятать;чуьнуьх авун
утаивать;чуьнуьх авун
скрываться;чуьнуьх хьун
прятаться;чуьнуьх хьун
укрываться;чуьнуьх хьун
прятать;чуьнуьхарун
хоронить;чуьнуьхарун
замаскировать;чуьнуьхарун
играть в прятки;чуьнуьхгумбат къугъун
вор;чуьнуьхгумбат
прятки (название игры);чуьнуьхгумбат
воровство;чуьнуьхгумбатвал
вор;чуьнуьхдайди
похититель;чуьнуьхдайди
ворованный хлеб вкуса не имеет (т. е. ворованное добро впрок не идёт);чуьнуьхай фуахъ дад жедач
скрывать нечего;чуьнуьхдай кар авач
раньше в горах был обычай красть невест;виликдай дагълара сусар чуьнуьхдай адет авай
не до конца быть откровенным (<букв> голову высунув, спрятать хвост);кьил акъудна
не до конца быть откровенным (<букв> голову высунув, спрятать хвост);тум чуьнуьхун
красть;чуьнуьхун
воровать;чуьнуьхун
похищать;чуьнуьхун
скрывать;чуьнуьхун
прятать;чуьнуьхун
в последние годы краж в городе стало меньше;эхиримжи йисара шегьерда чуьнуьхунар тимил хьанва
воровство;чуьнуьхунар
кража;чуьнуьхунар
булка;чуьрег
кондитерские изделия;чуьрег
кондитер;чуьрегчи
работать кондитером;чуьрегчивал авун
профессия кондитера;чуьрегчивал
угол;чуьрт
устраивать распри;чуьруьк(ар) авун
скандалить;чуьруьк(ар) авун
ругаться;чуьруьк(ар) авун
скандалить;чуьруьк хьун
ругаться;чуьруьк хьун
грызться;чуьруьк хьун
скандал;чуьруьк
раздор;чуьруьк
распря;чуьруьк
грызня;чуьруьк
скандалист;чуьруькчи
дебошир;чуьруькчи
дебоширство;чуьруькчивал
как свойственно скандалисту;чуьруькчивилелди
дебоширу;чуьруькчивилелди
груша;чуьхвердин тар
грушевое дерево;чуьхвердин тар
дикая груша;чуру чуьхвер
скороспелые груши;гатун чуьхверар
поздние груши;зулун чуьхверар
сорт груш с рассыпчатой мякотью;саван чуьхверар
груша;чуьхвер
кьал;чуьхвер
чухвермахсуб (герой лезгинского фольклора);чуьхвермасуб
груша (дерево);чуьхвертар
умываться;чин чуьхуьн
мыть руки;гъилер чуьхуьн
мать стирает постельное бельё;дидеди месин гьяжетар чуьхуьзва
когда не хотят обмывать обновку;цийилух чуьхуьз такандайла
когда не хотят обмывать обновку;ирандидеди багъишайди я лугьуда
говорят;цийилух чуьхуьз такандайла
говорят;ирандидеди багъишайди я лугьуда
что тёща подарила;цийилух чуьхуьз такандайла
что тёща подарила;ирандидеди багъишайди я лугьуда
мыть;чуьхуьн
стирать;чуьхуьн
обмывать;чуьхуьн
купаться;чуьхуьнагар авун
купание;чуьхуьнагар
купаться;чуьхуьнагарун
стирать;чуьхуьнар авун
постиранные вещи сразу же развесьте сушиться;чуьхуьнар тадиз кьуруриз экягъ
стирка, мытьё с мылом (чего-л.);чуьхуьнар
постиранные вещи;чуьхуьнар
стиральная машина;чуьхуьнардай машин
стиральный;чуьхуьнардай
стирать;чуьхуьнарун
муравей;чуьчуькай
цегв;чуьчуькай
расколотое полено;чха
раскалывать на части по продольной линии;чха-чха авун
расщеплять (о дровах);чха-чха авун
в борозду! (окрик на быков во время пахоты);чхарма!
становиться недееспособным;риц алатай чхра хьиз хьун
впадать в такое состояние;риц алатай чхра хьиз хьун
когда всё валится из рук;риц алатай чхра хьиз хьун
прясть шерсть на прялке;чхрадал гъалар авун
прялка;чхра
десятая буква лезгинского алфавита;ж
отвечать;жаваб гун
давать сдачи (отвечать на удар, оскорбление тем же);жаваб гун
жду ответа;жаваб гуьзлемишзава
дай ответ;жаваб це
отвечай;жаваб це
ответ;жаваб
давать ответы;жавабарун
отвечать;жавабарун
ответственных много;жавабдарар гзаф ава
ответственных много;жавабдарвал авач
ответственности нет;жавабдарар гзаф ава
ответственности нет;жавабдарвал авач
ответственный редактор;жавабдар редактор
ответственный секретарь;жавабдар секретарь
он ответственный работник;ам жавабдар къуллугъчи я
ответственный (в знач. сущ.);жавабдар
ответственный;жавабдар
привлекать к ответственности;жавабдарвилиз чугун
не чувствовать ответственности;жавабдарвал гьисс тавун
ответственность;жавабдарвал
ответственно;жавабдарвилелди
с чувством ответственности;жавабдарвилелди
ответственный;жавабдарлу
жавабдар;жавабдарлу
ответственность;жавабдарлувал
жавабдарвал;жавабдарлувал
становиться безответственным;жавабдарсуз хьун
безответственный человек;жавабдарсуз кас
вести себя безответственно;жув жавабдарсуз тухун
безответственный;жавабдарсуз
безответственно;жавабдарсуз
проявлять безответственность;жавабдарсузвал авун
безответственность;жавабдарсузвал
наплевательство;жавабдарсузвал
безответственно;жавабдарсузвилелди
безответное животное;жавабсуз гьайван
любить безответно;жавабсуз кан хьун
безответный;жавабсуз
безответно;жавабсуз
быстро ответил на вопрос;суалдиз тадиз жавабна
отвечать;жавабун
давать сдачи;жавабун
жаваб (жаваб гун);жавабун
жемчужины поэзии;шииратдин жавагьирар
драгоценный камень;жавагьир
жемчуг;жавагьир
жемчужина;жавагьир
сокровище;жавагьир
жавагир;жавагьир
щедрый человек;жавад
счастливец;жавад
бахтавар;жавад
жавад;жавад
юноша;жаван
парень;жаван
молодой;жаван
юношеский;жаван
юношество;жаванар
молодёжь;жаванар
юность;жаванвал
молодость;жаванвал
по молодости;жаванвиляй
по неопытности;жаванвиляй
молодёжный центр;жаванрин макан
юношеский;жаванрин
молодёжный;жаванрин
молодить;жаванун
шамама (несъедобная душистая дыня);жавжав
шамума;жавжав
обладатель;жагъайди
хозяин;жагъайди
иеси;жагъайди
избранник;жагъайди
суженый;жагъайди
личинка зелёной мухи;жагъал
я нашёл деньги;заз пул жагъана
нашёл исток реки;вацун кьил жагъана
пропавшая корова нашлась;квахьай кал жагъана
ты тоже нашёл себе друга (<ирон> );вазни дуст жагъана
иные из друзей оказались врагами;дустарикай бязибур заз душманар яз жагъанва
хозяин дома;квал жагъайди
домовладелец;квал жагъайди
хозяина дома выгнали из дома;квал жагъайди кваляй акъудна
находить;жагъун
отыскаться;жагъун
оказываться, обнаруживаться, являться в своём действительном виде;жагъун
пошёл искать невесту;свас жагъуриз фейиди киц гваз хтана
вернулся с собакой;свас жагъуриз фейиди киц гваз хтана
я нашёл себе работу;за жуваз квалах жагъурна
найди мастера-кровельщика;къавуз ракь ядай устар жагъура
находить;жагъурун
отыскивать;жагъурун
обнаруживать;жагъурун
искать;жагъурун
доставать;жагъурун
добывать;жагъурун
мир;жагьан
вселенная;жагьан
ханжа;жаду
лицемер;жаду
мунафикь;жаду
фарисей;жаду
лицемерить;жадувал авун
притворяться;жадувал авун
лукавить;жадувал авун
ханжеский;жадувилин
лицемерный;жадувилин
ханжество;жадувал
двуличие;жадувал
лицемерие;жадувал
мунафикьвал;жадувал
фарисейвал;жадувал
фашалвал;жадувал
хилафвал;жадувал
ханжески;жадувилелди
лицемерно;жадувилелди
мунафикьвилелди;жадувилелди
фарисейвилелди;жадувилелди
фашалвилелди;жадувилелди
хилафвилелди;жадувилелди
наказывать;жаза гун
карать;жаза гун
умерщвлять;жаза гун
лишать жизни;жаза гун
наказывать;жазадихъ агакьарун
карать;жазадихъ агакьарун
наказание;жаза
кара;жаза
суд-дуван;жаза
карать;жазаламишун
наказывать;жазаламишун
суд-дуван (суд-дуван авун);жазаламишун
оставлять преступника безнаказанным - тоже преступление;тахсикар жазасуз тун - гьамни тахсиркарвал я
безнаказанно совершал преступления;жазасуз къанлувилер ийизвай
безнаказанный;жазасуз
безнаказанно;жазасуз
тот;жазачи
кто наказывает;жазачи
каратель;жазачи
мститель;жазачи
доводить до отчаяния;жаздандал гъун
изводить;жаздандал гъун
мучить;жаздандал гъун
скрежетать (о зубах);жакьракь авун
скрипеть (о снеге при морозе);жакьракь авун
терпи до скрежета зубов;сарари жакьракьдалди эхи ая
скрежет;жакьракь
пищу нужно тщательно пережёвывать;незвай хуьрек хъсандиз жакьвана канда
жевать;жакьун
разжёвывать;жакьун
ли, неужели, неужто (выражает слабое удивление, сомнение);жал
прививать (глазок, черенок к деревцу);жалагъун
илигун;жалагъун
огородить (изгородью из сплетённых прутьев);жалан ягъун
плести плетень;жалан хурун
плетень;жалан
плетёная дверь загона;жалан
двора;жалан
прививать (черенок к деревцу);жалгъа гун
разбивать сад;жалгъаяр ягьун
слогораздел;слогрин жалгъа
перевал;дагъдин жалгъа
вывихнул ногу;квач жалгъадай акъатна
вправить сустав;жалгъада хтун
черенок;жалгъа
гил;жалгъа
стык;жалгъа
место соединения (чего-л.);жалгъа
сустав;жалгъа
мушмула садовая;жалгъакицик
у каждой эпохи есть и свои палачи;гьар девирдихъ вичин жаллатарни ава
у каждой эпохи есть и свои палачи;къурбандарни
и свои жертвы;гьар девирдихъ вичин жаллатарни ава
и свои жертвы;къурбандарни
палач;жаллат
палачествовать;жаллатвал авун
палачество;жаллатвал
угнетение;жаллатвал
расправа;жаллатвал
жалюзи (шторы из жёстких поперечных параллельных пластинок);жалюзи
красота;жамал
привлекательность;жамал
жамал;жамал
господа;жанабияр
господа;вад декьикьада заз яб це
послушайте меня пять минут;жанабияр
послушайте меня пять минут;вад декьикьада заз яб це
почтённые гости;жанаби мугьманар
господин;жанаби
почтённый;жанаби
уважаемый;жанаби
дорогой;жанаби
рёв осла приятен только волку;ламран ван анжах жанавурдиз хуш я
поминки осла справляет волк;ламран садакьа жанавурди гуда
осёл надеется на уши;лам япарихъ агъунва
осёл надеется на уши;жанавур - сарарихъ
волк - на клыки;лам япарихъ агъунва
волк - на клыки;жанавур - сарарихъ
овцу доверили волку;хеб жанавурдал ихтибарна
волчья трава (горная острая трава, используется при лечении геморроя);жанавурдин векь
блефовать;жанавурдин кьил къалурун
заниматься пустыми угрозами;жанавурдин кьил къалурун
волчонок;жанавурдин шараг
волчатина;жанавурдин як
волчий;жанавурдин
волчица;диши жанавур
волк;жанавур
прочесть молитву над покойником;жаназа элягъун
чтение молитв над покойником;жаназа
индеветь;жанг ягъун
покрываться инеем;жанг ягъун
иней;жанг
жандармский;жандармадин
жандарм (лицо, состоящее на службе в жандармерии);жандарма
работать жандармом;жандармавал авун
должность жандарма;жандармавал
дневник;жандафтар
верхняя женская одежда (наподобие мужского жилета);жандум
жанр (группа произведений искусства, объединённых общими признаками содержания и формы);жанр
жаргон (речь какой-л. социальной или профессиональной группы);жаргон
скрип (звук);жаркь
скрипеть;жаркь-жаркь авун
неоднократные звуки скрипа;жаркь-жаркь
тело - богатырское;жасад - пагьливандинди
тело - богатырское;рик - нуькренди
сердце - птичье;жасад - пагьливандинди
сердце - птичье;рик - нуькренди
крепкое тело;мягькем жасад
кругом не было видно ни одного живого существа;кьуд пата са чан алай жасад аквазвачир
редко;жасад
тело;жасад
существо;жасад
смелость;жасарат
храбрость;жасарат
шпион;жасус
лазутчик;жасус
шпионить;жасусвал авун
шпионский;жасусвилин
шпионаж;жасусвал
становиться бессильным;жафа атун
ослабевать (от непосильного труда);жафа атун
трудиться;жафа чугун
прилагать силы;жафа чугун
непросто;жафа я
трудно;жафа я
трудно иметь дело с таким;жафа я вун хьтиндал гьалтун
как ты;жафа я вун хьтиндал гьалтун
вот задача будет;жафа хьана зазни эверайта
если и меня позовёт;жафа хьана зазни эверайта
нынешние не любят трудиться (<букв.> нынешние - труду не преданные люди);гила авайбур жафадиз вафа тушир уьлмет я
переживать трудности;жафаяр акун
трудный;жафадин
трудное дело;жафа алай кар
трудное дело;жафа квалах
труд;жафа
трудность;жафа
трудный;жафа
тяжёлый;жафа
тягостный;жафа
ит;жафа
четин;жафа
с трудом;жафадалди
с большими трудностями;жафадалди
четинвилелди;жафадалди
гребень;жгъа
гребешок (у птиц);жгъа
ковыль;жгъавекь
арсенал;жебехана
склад оружия и боеприпасов;жебехана
принуждать;жебир авун
заставлять;жебир авун
принуждение;жебир
насилие;жебир
гуж;жебир
вопреки желанию;жебирна
против воли;жебирна
насильно;жебирна
гужалди;жебирна
гужуналди;жебирна
молчи!;сивел жебкьен эциг!
крышка кувшина для воды;жебкьен
настойка лекарственных трав;дармандин хъчарин жевгьер
уксусная эссенция;сиркедин жевгьер
драгоценный камень;жевгьер
драгоценность;жевгьер
жемчужина;жевгьер
перл;жевгьер
настойка;жевгьер
эссенция;жевгьер
кто не видал ада;жегьеннем такьурдаз женнетда кьарай къведач
тому в раю не усидится;жегьеннем такьурдаз женнетда кьарай къведач
одна жена - рай;са паб женнет я
одна жена - рай;кьве паб - жегьеннем
две жены - ад;са паб женнет я
две жены - ад;кьве паб - жегьеннем
ты где пропадал? (<букв> ты в каком аду был?);вун гьи жегьеннемда авай?
адский;жегьеннемдин
ад;жегьеннем
геенна;жегьеннем
пекло;жегьеннем
у молодого зоркими бывают глаза;жегьилдин вилер хци жеда
у молодого зоркими бывают глаза;агьилдин - рик
у старика - сердце;жегьилдин вилер хци жеда
у старика - сердце;агьилдин - рик
молодить;жегьил авун
молодость;жегьил вахт
молодеть;жегьил хьун
становиться молодым;жегьил хьун
молодой человек;жегьил гада
юноша;жегьил гада
молодая девушка;жегьил руш
молодой скот;жегьил малар
молодняк;жегьил малар
он еще неопытный специалист;ам гьеле жегьил пешекар я
молодой человек;жегьил
юноша;жегьил
молодой;жегьил
юный;жегьил
жаван;жегьил
неопытный;жегьил
фестиваль молодёжи и студентов;жегьилрин ва студентрин фестиваль
молодежь;жегьилар
жаванар;жегьилар
молодить;жегьиларун
жаванун;жегьиларун
молодиться;жегьилвал авун
вести себя подобно молодому;жегьилвал авун
молодость прошла незаметно;жегьилвал акуна-такуна акъатна
молодость;жегьилвал
юность;жегьилвал
жаванвал;жегьилвал
допустил ошибку по неопытности;жегьилвиляй хьайи гъалат я
по молодости;жегьилвиляй
по неопытности;жегьилвиляй
жаванвиляй;жегьилвиляй
молодой (в знач. сущ.);жегьилди
выглядеть молодо;жегьилдиз акун
молодо;жегьилдиз
юноша;жегьил-жаван
молодой человек;жегьил-жаван
пока ещё молодой;жегьилзамаз хизан кутуна канда
нужно обзавестись семьёй;жегьилзамаз хизан кутуна канда
пока ещё молодой;жегьилзамаз
алый цвет;жегьре ранг
покрасить в алый цвет;жегьре рангуниз вегьин
алый;жегьре
ал;жегьре
алвани;жегьре
зги;жегьре
розоватый;жегьревал алай
с розовым оттенком;жегьревал квай
алость;жегьревал
алая пряжа;жегьреяр
желание;жегьт
настрой;жегьт
посильная помощь;жедай куьмек
возможный;жедай
посильный;жедай
алакьдай;жедай
сделал как может;вичивай жедайвал авуна
ударил изо всех сил;жедайвал яна
как может;жедайвал
алакьдайвал;жедайвал
во всю мочь;жедайвал
изо всех сил;жедайвал
будь что будет;жедайди ана жеда
линейка;жедвел
а может вор не он;угъри ам туш жеди
а может;жеди
а может быть;жеди
насколько возможно;жезмай кьван
с большим трудом;жез-тежез
еле-еле;жез-тежез
насилу;жез-тежез
гужа-гуж;жез-тежез
гуж-баладалди;жез-тежез
кто поведётся с джейраном;жейрандин тай хьайиди цуькверин юкьваз акъатда
кто поведётся с джейраном;ламран тай хьайиди - къалгъанрин
окажется посреди цветов;жейрандин тай хьайиди цуькверин юкьваз акъатда
окажется посреди цветов;ламран тай хьайиди - къалгъанрин
а кто поведётся с ослом;жейрандин тай хьайиди цуькверин юкьваз акъатда
а кто поведётся с ослом;ламран тай хьайиди - къалгъанрин
- посреди чертополоха;жейрандин тай хьайиди цуькверин юкьваз акъатда
- посреди чертополоха;ламран тай хьайиди - къалгъанрин
стройный;жейран хьтин
статный;жейран хьтин
подобный джейрану;жейран хьтин
джейран;жейран
поросячий;жекьидин
скорогов. у касумкента два поросёнка, столкнувшись головами, сдохли;кьасумхуьруьн кьилихъ кьве жекьи кьил-кьиле акьуна кьена
поросёнок;жекьи
привлекать;желб авун
вовлекать;желб авун
сосредоточивать;желб авун
сосредоточиться;желб хьун
скопиться;желб хьун
на решение проблемы сосредоточились большие силы;месэла гьялиз гзаф къуватар желб хьанва
сосредоточить внимание (на чём-л.);дикъет желбун
привлекать;желбун
вовлекать;желбун
сосредоточивать;желбун
западня;желе
ловушка;желе
кам;желе
ракьар;желе
неказистый;желеб
некрасивый;желеб
становиться вялым;желкьен хьун
лишаться бодрости;желкьен хьун
энергии;желкьен хьун
живости (о человеке);желкьен хьун
тканевый мешок;желкьен
окропление святой водой с одновременным чтением аятов из корана;жеминай ягъун
принеси кружку воды;са жем яд гъваш
складывать;жем авун
суммировать;жем авун
собирать;жем авун
медная кружка;жем
полоскательница;жем
итог;жем
сумма;жем
ниша для постели;жемехудан
складывать;жемун
суммировать;жемун
подводить итог;жемун
обобщать;жемун
общественный котёл и на льду закипит;жемятдин къажгъан муркадални ргада
советоваться с народом;жемятдал алукьун
жителями данного населённого пункта;жемятдал алукьун
общественный;жемятдин
общество;жемят
народ;жемят
община (жители одного населённого пункта);жемят
общественные работы;жемятлух квалахар
общественный;жемятлух
иштимаи;жемятлух
эллик;жемятлух
вести борьбу;женг чугун
бороться;женг чугун
соревноваться;женг чугун
состязаться;женг чугун
начинать бороться;женгиниз экъечун
включиться в соревнование;женгиниз экъечун
упорные бои;къизгъин женгер
закалившееся в сражениях поколение;женгера лигим хьайи несил
поле битвы;женгинин майдан
соревнования за кубок мира по хоккею;хокккейдай дуьньядин кубок патал женгер
борьба;женг
бой;женг
битва;женг
сражение;женг
соревнование;женг
серая каракулевая шапка;женгери бармак
серый (о каракуле);женгери
борец за свободу;азадвал патал женгчи
боевая экипировка;женгчи партал
борец;женгчи
воин;женгчи
боевой;женгчи
ратный;женгчи
бороться;женгчивиле хьун
проводить жизнь в борьбе;женчивиле уьмуьр тухун
натура;женгчивал
деяния бойца;женгчивал
на теле появилась сыпь;жендекдиз тварар акъатна
на свадьбу купили две туши говядины;мехъериз кьве малдин жендек къачунвай
тело;жендек
корпус;жендек
туловище;жендек
беден;жендек
жасад;жендек
туша;жендек
мой шалун не может сидеть на одном месте;зи женжелдиз санал ацукьна кьарай къведач
озорные выходки;женжел амалар
пострел;женжел
шалун;женжел
проказник;женжел
озорник;женжел
шаловливый;женжел
озорной;женжел
шалить;женжелвал авун
озорничать;женжелвал авун
шаловливый;женжелвал квай аял я
озорной ребёнок;женжелвал квай аял я
шалость;женжелвал
озорство;женжелвал
надинжвал;женжелвал
тийихайвал;женжелвал
тиширкьинвал;женжелвал
шаловливо;женжелвилелди
озорно;женжелвилелди
надинжвилелди;женжелвилелди
тийихайвилелди;женжелвилелди
тиширкьинвилелди;женжелвилелди
дорога в рай длинная;женнетдиз рехъ яргъи я
женские груди;женнетдин анарар
райский сад;женнетдин багъ
красивое место;женнетдин багъ
красивое одеяние;женнетдин либас
возлюбленная;женнетдин рейгьан
возлюбленная;женнетдин цуьк
некоторые и на этом свете нашли рай;бязибуруз женнет и дуьньядани жагъанва
рай;женнет
обитатель рая;женнетэгьли
достойный рая;женнетэгьли
вышёл из наших рядов;чи жергедай акъатна
рядовой;жергедин
рядовой солдат;жергедин аскер
ряд;жерге
шеренга;жерге
вереница;жерге
шеренгой;жергедаваз
вереницей;жергедаваз
рядовой;жергедин
обыкновенный;жергедин
заурядный;жергедин
рядами;жерге-жерге
шеренгами;жерге-жерге
каждый поэт пишет как может;гьар са шаирди вичивай жеривал кхьизва
как может;жеривал
по возможности;жеривал
штрафовать;жерме авун
задолжать;жерме акьалтун
на кто не вовремя платит налоги;вахтунда налук тагайбурал жерме къвезва
налагается штраф;вахтунда налук тагайбурал жерме къвезва
с тебя магарыч (по какому-л. случаю);вал жерме акьалтнава
штраф;жерме
магарыч;жерме
десхуш;жерме
мевенжи;жерме
миянжи;жерме
лекарь-самоучка;жерягь
костоправ;жерягь
профессия лекаря - самоучки;жерягьвал
костоправа;жерягьвал
не может быть!;жеч гьа!
накапливать деньги;жибин дулу авун
обворовывать (<букв> отрезать карман);жибин(ар) атун
богатеть;жибин дулу хьун
обзаводиться деньгами;жибин дулу хьун
оказываться на мели;жибин(ар) ичи хьун
оставаться без денег;жибин(ар) ичи хьун
карманный;жибиндин
жакет с карманами;жибинар квай жигет
засунул руку в карман;жибинда гъил туна
карманный вор;жибинар атудай угъри
карманник;жибинар атудай угъри
он полагается на свой карман (т.е. деньги);ам вичин жибиндихъ агъунва
карман;жибин
снежный;живедин
идёт снег;жив къвазва
идти по снегу;живедай фин
следы на снегу;живедал гелер
снежные хлопья;живедин пилтеяр
снежинка;живедин церекв
снеговик;живедин нини
снежный человек;живедин инсан
йети;живедин инсан
снег;жив
ртутный;живедин
ртутный рудник;живедин мяден
ртуть;живе
снегурочка;живерханум
жарг. женщина;живи
боковые побеги табака;жигенар
гивен(ар);жигенар
кесме(яр);жигенар
обрекать на душевные муки;жигер(ар) кун
доставлять постоянные неприятности;жигер(ар) кун
лёгочная плева;жигердин перде
печень;чулав жигер
лёгочный;жигердин
лёгочные болезни;жигердин азарар
лёгкое;жигер
чувствовать сильную жажду;жигеррай цай акъатун
пневмония;жигеррин тал
ливер (употребляемые в пищу внутренности убойных животных);жигерар
жакет (короткая верхняя одежда);жигет
джигит;жигит
одобр. пусть твои тропинки превратятся в широкие дороги!;ви жигъиррикай гьяркуь рекьер хьуй!
тропа;жигъир
тропинка;жигъир
джихад (священная война, объявляемая мусульманами иноверцам);жигьад
с какой бы стороны не смотреть;гьи жигьетдай килигайтани
точка зрения;жигьет
сторона;жигьет
направление;жигьет
в плане красоты получилось неплохо;гуьрчегвилин жигьетдай пис хьанвач
по своевременной выплате зарплаты дела обстоят неважно;вахтунда мажибар гунин жигьетдай гьалар акьван пайгарзавач
в отношении;жигьетдай
в плане;жигьетдай
относительно (кого-чего-л.);жигьетдай
приданое (только движимое);жигьизар
штыковой;жидадин
штык;жида
копье;жида
пика;жида
трескаться;жидар-жидар хьун
половик;жижим
дорожка (вид паласа);жижим
наличник;жизвел
оставался незначительный зазор;жизви ара амай
чуть отдохни;жизви ял акъадра
на миг подойди сюда;са жизви инал ша
без малого;жизви амаз
без малого пять часов;сятдин вад жедалди жизви амаз
мы не из кто обращает внимание на мелочи;чун жизвияр кваз кьадайбурукай туш
все ссоры начинаются с пустяка;вири къалар жизвидилай башламиш жезвайди я
незначительный;жизви
ничтожный;жизви
пустячный;жизви
едва;жизви
немного;жизви
чуть;жизви
чуточку;жизви
пустяк;жизви
малость;жизви
мелочь;жизви
незначительность;жизвивал
ничтожность;жизвивал
сердиться по пустякам;жизвидилай хъел атун
сразу;жизвидилай
без повода;жизвидилай
по пустякам;жизвидилай
чуть-чуть;жизви-жизви
скрипеть;жикьа-жикь авун
скрип;жикьа-жикь
куст шиповника;жикидин вал
шиповник;жики
ослаблять вожжи;жилавар гъуьргъуь авун
давать волю (кому-л.);жилавар гъуьргъуь авун
натягивать поводья;жилавар тарамарун
не давать воли (кому-л.);жилавар тарамарун
повод;жилав
вожжа;жилав
кьенер;жилав
мальчик переплёл книгу;гадади ктабдал жилд гьалдна
обложка;жилд
переплёт;жилд
жилет;жилет
жилетка;жилет
жим (упражнение из двух движений в тяжёлой атлетике);жим
делать жидким;жими авун
разжижать;жими авун
становиться жидким;жими хьун
разжижаться;жими хьун
жидкость;жими зат
жидкое блюдо;жими хуьрек
жидкий;жими
жидкое состояние;жимивал
в жидком состоянии;жимидаказ
жидко;жимидаказ
водянисто;жимидаказ
жидкое блюдо;жими-журу
жмых (остатки семян масличных растений после выжимания из них масла);жимих
беситься;жинерар акатун
перен.бесить;жинерик цай кутун
приводить в ярость;жинерик цай кутун
злить;жинерик цай кутун
изгонять бесов;жинерар хкудун
шапка-невидимка;жинжин бармак
поганка;жинжин бармак
вихрь;жинжин гар
см.тж. жинжигар;жинжин гар
кажется, в него вселились добрые духи (когда вдруг кто-то начал совершать несвойственные ему добрые дела);адак къени жинерар акатнавай хьтинди я
дух;жин
демон;жин
бес;жин
ломать дужку (держать пари);жинаб кьун
выиграть пари;жинабдал тухун
выпадать по жребию;жинабдай акъатун
я выиграл у него пари на куриной дужке;за ам жинабдай тухвана
ключица;жинаб
дужка (птиц);жинаб
пари (на куриной дужке, ломая её);жинаб
мерж;жинаб
таржума;жинаб
жребий;жинаб
кьур-кьеж;жинаб
чип;жинаб
бесовство;жинвал
демонизм;жинвал
не пикнуть;жингъир акъуд тавун
не произнести ни звука;жингъир акъуд тавун
писк;жингъир
