spelling;spellingWithRandomChars;spellingWithRandomCharsIgnoreSpaces;inflectionsWithRandomChars;definitionsContainingExpressions;definitionsStartingWithParenthesis;definitionsStartingWithRandomChars;examplesContainingExpressions;definitionsStartingWithTags;stringsEndingWithCurlyBraces
ВИРАЖ;false;false;;;;;;<мор.ав.> пароход ва я самолёт рекьелай къерехдиз алчуд хьун.;
ВИСКИ;false;false;;;;;;<ср.нескл.> виски (туьнт инглис эрекь);
ВИСНУТЬ;false;false;;;;;;<пер.разг.> аруш хьун, алкIун (садал рикI алаз, алат тавун);
ВИТАТЬ;false;false;;;(фикирар) къекъуьн;;;;
ВИТЬ;false;false;;;(муг) авун;;;;
ВИШЬ;false;false;;;;;;<частица.разг.> аку, аку гьа;
ВКЛАД;false;false;;;;;;;вклад, кутур кар, кутур метлеблу са кар{
ВКЛИНИВАТЬ;false;false;;;;;;<несов.см> {. вклинить};
ВКЛЮЧАТЕЛЬ;false;false;;;;;;<м.тех.> включатель (вичелди электричестводин ток ахъайдай алат);
ВКЛЮЧАТЬСЯ;false;false;;;;;;<несов.см> {;<несов.см> {
ВКУШАТЬ;false;false;;;;;;<несов.см> {. вкусить};
ВЛАМЫВАТЬСЯ;false;false;;;;;;<несов.см> {. вломиться.};
ВЛАСТНЫЙ;false;false;;;;;;;гъиле ихтияр авай, гьукум гвай{
ВЛЕЗАТЬ;false;false;;;;;;<несов.см> {. влезть};
ВЛЕТЕТЬ;false;false;;;;;;<пер.разг.> туьгьмет атун, жаза галукьун;
ВМЕНЯТЬ;false;false;;;;;;<несов.см> {. вменить};
ВОДОВОРОТ;false;false;;;(вичелди чIугвадай) гужлу гьерекат;;;;
ВОЕВОДА;false;false;;;;;;<м.ист.> воевода;
ВОЕНКОМАТ;false;false;;;({военный комиссариат}) военкомат;;;;
ВОЕНКОР;false;false;;;({военный корреспондент)} дяведин корреспондент;;;;
ВОЕННОПОЛЕВОЙ СУД;true;false;;;;;;;
ВОЗВЕЛИЧИВАТЬ;false;false;;;;;;<несов.см.> {возвеличить};
ВОЗЛЕ;false;false;;;;;;<нареч.предл.> патав, мукьув;
ВОКЗАЛЬНЫЙ;false;false;;ВОКЗАЛЬНЫЙвокзалдин;;;;;
ВОЛНЕНИЕ;false;false;;;;;;<мн.полит.> къалабулухар, бунт ийиз къарагъунар;
ВОЛЧАНКА;false;false;;;;;;<мн.нет.мед.> мубарак (азар);
ВОЛЫНКА;false;false;;;;;;<мн.нет.пер.> кар галчIурун1  яргъал ракъурун, ленг авун;
ВОЛЬНОДУМСТВО;false;false;;;;;;<мн.нет.ист.> азад фикир авун;
ВОЛЬНОСТЬ;false;false;;;;;;<мн.нет> азадвал;
ВОЛЬТОВА ДУГА;true;false;;;;;;;
ВООРУЖИТЬ;false;false;;;(чирвилер) гун, яракьламишун;;;;
ВОРОНА;false;false;;;;;;<пер.разг.> сив ахъа пехъ, фикир чкIай ментеш;
ВОРОНИТЬ;false;false;;;;;;<несов.тех.> савад авун, цагъадин (рахулдин) яд гана чIулаврун (металл);
ВОСКЛИЦАТЕЛЬНЫЙ ЗНАК;true;false;;;;;;;
ВОСПАЛЁННЫЙ;false;false;;;;;;<мед.> яру хьанвай, дакIур, дакIуна яру хьанвай;
ВОСПАЛИТЬСЯ;false;false;;;;;;<пер.уст.> къизмиш хьун, туьнт хьун, акатун, атун (мес. пис хъел);
ВОСПАЛЯТЬСЯ;false;false;;;;;;<несов.см> {. воспалиться};
ВОСПРОИЗВОДСТВО;false;false;;;;;;<мн.нет.эк.> воспроизводство, цIийиз гьасил хъхьун, мад арадал хкун;
ВОССТАНАВЛИВАТЬ;false;false;;;;;;<несов.см.> {восстановить};
ВОССТАНОВЛЕНИЕ;false;false;;;;;;<.мн.нет> см. {восстановить} {и} {восстановиться};
ВОЯКА;false;false;;;;;;<разг.ирон.> дявечи, дявекар, куьшкуьндар, кукIунал рикI алайди;
ВРАЖДОВАТЬ;false;false;;;(сад садаз) душманар хьун, душманвал авун;;;;
ВРАКИ;false;false;;;;;;<ед.нет.разг.> буш гафар;
ВРАТА;false;false;;;;;;<ед.нет.уст.> см. {ворота};
ВРЯД ЛИ;true;false;;;;;;;
ВСЕВОБУЧ;false;false;;;({всеобщее военное обучение}) всевобуч, виридаз дяведин кар чирун, виридаз дяведин талим гун;;;;
ВСЕЗНАЙКА;false;false;;;;;;<ж.разг.ирон.> вичи вич гьар са кар чидайдай кьадайди;
ВСЕОБУЧ;false;false;;;({всеобщее обязательное обучение}) всеобуч, виридаз мажбури яз кIелиз тун;;;;
ВСКРЫТЬ;false;false;;;;;;<пер.> ачухун, дуьздал акъудун;
ВСПРЫГИВАТЬ;false;false;;;;;;<несов.см.> {вспрыгнуть};
ВСПРЫСНУТЬ;false;false;;;;;;<пер.разг.> муштулухдай хъун (ички);
ВСТРЕТИТЬСЯ;false;false;;;(сад садахъ галаз) гуьруьшмиш хьун.;;;;
ВСТРЕЧАТЬ;false;false;;;;;;<несов.см.> {встретить};
ВСТРЯХИВАТЬ;false;false;;;;;;<несов.см.> {встряхнуть};
ВСТРЯХИВАТЬСЯ;false;false;;;;;;<несов.см.> 1) {встряхнуться};
ВСТРЯХНУТЬСЯ;false;false;;;;;;<пер.разг.> рикI аладрун;
ВСТУПАТЬ;false;false;;;;;;<несов.см.> {вступить};
ВСТУПИТЬ;false;false;;;(са кар) ийиз эгечIун, башламишун;;;;
ВСУЧИТЬ;false;false;;;;;;<пер.разг.> чуькьуьн, сухун (яни алдатмишна ва я гужалди са затI  гун);
ВСЫПАТЬ;false;false;;;;;;<пер.разг.> чуькьуьн, вигьин (яни гатун ва я экъуьгъунар авун)|<несов.см.> {всыпать};
ВТИРАТЬ;false;false;;;;;;<несов.см.> {втереть};
ВТИРАТЬСЯ;false;false;;;;;;<несов.см.> 1) {втереться};
ВТИСКИВАТЬ;false;false;;;;;;<несов.см.> {втиснуть};
ВТОРА;false;false;;;;;;<муз.уст.> кьвед лагьай сес, зил (музыкада);
ВТУЗ;false;false;;;({высшее техническое учебное заведение}) втуз (чIехи дережадин технический школа);;;;
ВУЗ;false;false;;;({высшее учебное}{ заведение}) вуз (лап чIехи дережадин школа мес. институт, университет);;;;
ВУЛЬГАРИЗМ;false;false;;;;;;<лит.> вульгаризм (литературадин чIала ишлемишун адет тахьанвайди яз литературадин чIала ишлемишнавай гьакIан са нугьатдин, са жаргондин, вульгарный гаф);
ВЫГОВОРИТЬ;false;false;;;(сивяй) акъудун;;;;
ВЫДУВКА;false;false;;;;;;<мн.нет.тех.> уф ттуна (ял ттуна) расун (мес. шуьшеяр);
ВЫЕЗЖАТЬ;false;false;;;;;;<пер.разг.> жуван хиве авай кар масадав ийиз тун, масад ишлемишун, менфят къачун;
ВЫКОВАТЬ;false;false;;;;;;<пер.> яратмишун, гьазурун, арадал гъун;
ВЫКОПАТЬ;false;false;;;;;;<пер.разг.> жугъурун, къекъвена жагъурун;
ВЫКРУТАСЫ;false;false;;;;;;<ед.нет.разг.> кьуьруькар, уюнар;
ВЫКУРИТЬ;false;false;;;;;;<пер.разг.> алудун, рахкурун, чукурун;
ВЫМОТАТЬ;false;false;;;;;;<пер.разг.> аман атIун, ччан къачун, ччандал гъун;
ВЫПЕКАТЬ;false;false;;;;;;<несов.см.> {выпечь};
ВЫПЕКАТЬСЯ;false;false;;;;;;<несов.см.> 1) {выпечься};
ВЫПИВАТЬ;false;false;;;;;;<см.> {выпить};
ВЫПИХИВАТЬ;false;false;;;;;;<несов.см.> {выпихнуть};
ВЫПЛЁСКИВАТЬ;false;false;;;;;;<несов.см.> { выплескать и выплеснуть};
ВЫПУСКНИК;false;false;;;(школа) куьтягьайди, куьтягьна ахъаяйди;;;;
ВЫПУШКА;false;false;;;(цвалрив гутунвай) куьбе;;;;
ВЫСОВЫВАТЬСЯ;false;false;;;;;;<несов.см.> 1) {высунуться};
ВЫСТАВИТЬ;false;false;;;(къецихъ) акъудун|(къецихъ) акъудна эцигун;;;;
ВЫСТУКИВАТЬ;false;false;;;;;;<несов.см> {выстукать};
ВЫУЧИВАТЬСЯ;false;false;;;;;;<несов.см.> 1) {выучиться};
ВЫХОДЕЦ;false;false;;;(маса уьлкведай) куьч хьана атайди|(са социальный группадин) арадай акъатайди, тирди;;;;
ВЫЦАРАПАТЬ;false;false;;;;;;<пер.разг.> са гужалди къачун;
МАДАМ;false;false;;;;;;<ж.нескл.> <уст.> мадам;
МАДЕМУАЗЕЛЬ;false;false;;;;;;<ж.нескл.> <уст.> мадемуазель, ханум (виликди гъуьлуьз тефей рушаз лугьудай);
МАНИТЬ;false;false;;;(вилерин ва я гъилин) ишарадалди эверун;;;;
МАТ;false;false;;;(шахматдин къугъуна шагь къачудай, чарасуз тир ва вичелди къугъун куьтягь жедай гьал);;;;
МАХАТЬ;false;false;;;(гъил);;;;
МАШИННО-ТРАКТОРНЫЙ;false;false;;: {машинно-тракторная станция }(МТС) машинринни тракторрин станция;;;;;
МАЭСТРО;false;false;;;;;;<м.нескл.> маэстро, устад;
МЕНЬШИЙ;false;false;;;(мадни, масадалай) тIимил|(мадни, масадалай) гъвечIи;;;;
МЕРГЕЛЬ;false;false;;;;;;<м.мн.нет> <геол.> мергель (чепедикайни киреждин къванцикай ибарат тир, кIане ацукьай дагълух жинс, къван хьтинди);
МЕСТКОМ;false;false;;;({местный комитет}) местком (профсоюздин чкадин комитет);;;;
МЕСТО;false;false;;;(кутIунай) затI, тай (гъиле кьадай, багаждиз гудай).;;;;
МЕТАФОРА;false;false;;;;;;<лит.> метафора (вичин асул манада ваъ, маса манада, тешпигь патал ишлемишнавай гаф ва я гафар, мес. сикI - амалдар инсандиз;
МЕТОНИМИЯ;false;false;;;;;;<лит.> метонимия (са затIунин тIварцIин чкадал адахъ галаз алакъалу яз ишлемишнавай маса затIунин тIвар, мес. пулунин гьунар лугьудай чкадал жибиндин гьунар лугьун);
МЕТР;false;false;;;;;;<лит.> метр, уьлчме (шиирдин);
МЕТРАНПАЖ;false;false;;;;;;<типог.> метранпаж (типографияда набор авур материал герек тирвал ктабдин ва я газетдин ччинрин шикилда дуьзмишдай рабочий);
МЕТРИКА;false;false;;;;;;<мн.нет.лит.> метрика;
МИТКАЛЬ;false;false;;;;;;<м.мн.нет> миткьал (лап ужуз сая чит);
МОЛОТЬ;false;false;;;;;;<пер.разг.> лагълагь авун, пичIи гафар рахун, буш рахун;
МОРГНУТЬ;false;false;;;(вили) лупI авун;;;;
МОТИВ;false;false;;;;;;<лит.> тема (искусстводин произведениеда);
МОЩИ;false;false;;;;;;<ед.нет.рел.> куьгьне мейитдин кIарабар, сура авай мейит.;
МРАМОРНЫЙ;false;false;;;(мармар хьтин) лапу, цIалцIам;;;;
МУНДШТУК;false;false;;;(зуьрнедин ва я маса музыкадин алатдин) писпи, сивел эцигдай кьил;;;;
ОБВАРИТЬ;false;false;;;(ргар яд илична, илич хьана) ккун;;;;
ОБВЕЯТЬ;false;false;;;(юг) вигьин;;;;
ОБВОРОВАТЬ;false;false;;;(садан мал, шей) чуьнуьхун;;;;
ОБЕГАТЬ;false;false;;;(виринра) къекъуьи, (виринриз) чукурун;;;;
ОБКОМ;false;false;;;({областной комитет}) обком;;;;
ОБЛАДАТЕЛЬ;false;false;;;(са затI) авай кас;;;;
ОБЛЕПИТЬ;false;false;;;(михьиз) виринрал, алкIурун, кьун;;;;
ОБЛИЧИТЕЛЬНЫЙ;false;false;;;(айибар, пис крар) дуьздал акъуддай;;;;
ОБМУНДИРОВАТЬ;false;false;;;(формадин) парталар гун, обмундирование гун;;;;
ОБОГНУТЬ;false;false;;;(санлай) элкъвена фин;;;;
ОБОЖАТЕЛЬ;false;false;;;(садал) рикI алайди, (сад) гзаф кIандайди;;;;
ОБОЗНАТЬСЯ;false;false;;;(са кас, са затI) ягъалмиш хьана масадай кьун, акадрун;;;;
ОБОЛОЧКА;false;false;;;(са затIунин) винел патан къат;;;;
ОБРАЗ;false;false;;;;;;<иск.> образ;
ОБРАМЛЯТЬ;false;false;;;(рамкада ттур хьиз) элкъуьрна кьун (нехишривди ва масабрувди);;;;
ОБРЕЗАТЬСЯ;false;false;;;(жуван са чка) атIун;;;;
ОБРИСОВАТЬ;false;false;;;(са кардин) шикил къалурун;;;;
ОБСТАВИТЬСЯ;false;false;;;(жуван кIвал) мебелдивди дуьзмишун;;;;
ОБСТОЯТЬ;false;false;;;(са гьалда) хьунухь;;;;
ОБХОДИТЬСЯ;false;false;;;(са къиметдихъ) акъвазун;;;;
ОБЪЕЗДИТЬ;false;false;;;(балкIан акьахиз, кутIуниз) вердишрун|(виринра, гзаф чкайра) къекъуьн, фин;;;;
ОБЫВАТЕЛЬ;false;false;;;;;;<уст.> са чкадин эгьли, са чкада гьамиша яшамиш жезвайди;
ОВСЯНКА;false;false;;;(нуькIверин са жуьре);;;;
ОВЧИНА;false;false;;;(тIушунай) хъицикь;;;;
ОГЛЯДЕТЬСЯ;false;false;;;(элкъвена къваларив гвай гьаларив) вердиш хьун;;;;
ОДЕВАТЬСЯ;false;false;;;(жувал, вичел) алукIун;;;;
ОДНОВРЕМЕННЫЙ;false;false;;;(са масадахъ галаз) са вахтунда жезвай (хьайи);;;;
ОЙ! ОЙ-ОЙ-ОЙ!;true;false;;;;;;;
ОКИСЬ;false;false;;;;;;<ж.хим.> окись (са химический элемент кислороддик акахьуналди жедай затI, мес. {окись меди} цурцун окись, яни цурцун къапуниз акъатдай пехир);
ОКУПИТЬСЯ;false;false;;;(авур харжи) агакь хъувун|(чIугур зегьметдин) эвез агакь хъувун;;;;
ОЛИЦЕТВОРИТЬ;false;false;;;(са кар, са ччан алачир затI) ччан алай затIунин шикилда къалурун. инсандин шикилда аваз къалурун, ччан алайди хьиз къалурун;;;;
ОПЕРИРОВАТЬ;false;false;;;;;;<мед.> операция авун (азарлудан са чка, хер атIун, къазунун);
ОПРОВЕРЖЕНИЕ;false;false;;;(са кар, хабар, фикир) инкар ийизвай малумат (ва я макъала);;;;
ОПРЫСКИВАТЕЛЬ;false;false;;;;;;<м.с.-х.> опрыскиватель (зиян гудай гьашаратар терг авун патал ттарариз ва маса набататриз дарман квай цин чиг ядай, хъчедай алат, машин);
ОРГАН;false;false;;мес. «Правда» газет ВКП(б)-дин ЦК-дин орган я;;;;;
ОРГБЮРО;false;false;;;({организационное бюро)} оргбюро (тешкилунин бюро, яни са цIийи обществодин, тешкилатдин гьамишалиг идара хкядалди адан крар кьиле тухун, и идара хкягъуниз гьазурвал акун патал тайинардай ксар);;;;
ОСВОБОДИТЕЛЬ;false;false;;;(вичи масад) азад авур кас, азад авурди (азад ийидайди);;;;
ОСВОБОЖДЕНИЕ;false;false;;;;;;<см.> {освободиться} и {освободить};
ОСЕДЛАТЬ;false;false;;;;;;<пер.воен.> кьун, атIун (дяведа душман къведай рекьин кьве патайни ягъиз адан рехъ, вилик пад атIун);
ОСОБЬ;false;false;;;;;;<ж.биол.> индивид (тек затI, кьилдин са организм, кас, ччан алай затI);
ОСТЬ;false;false;;;;;;<бот.> риге, кьилчих (мес. мухан).;
ОСЫПЬ;false;false;;;;;;<ж.геол.> кIвахьайбур (кIвахьна, авахьна кIватI хьайи накьвар, чирх, къванер ва масабур);
ОТБИТЬСЯ;false;false;;;(дяведалди, яна) кьулухъди чукурна жувалай алудун, яна алудун, яна кьулухъди чукур хъувун (гьужум, душман);;;;
ОТБЛЕСК;false;false;;;(са затIунал) аватзавай экв, нур;;;;
ОТВАРИТЬСЯ;false;false;;;(цIун гужуник) цIрана алатун, цIрана галатун (мес. ракьун затIунин пай);;;;
ОТДАЛЯТЬСЯ;false;false;;;;;;<несов.см.> 1) {отдалиться};
ОТЛЕТЕТЬ;false;false;;;(лув гана) фин|(лув гана) хъфин, куьч хьун (масанриз фидай къушар);;;;
ОТПЕРЕТЬСЯ;false;false;;;;;;<пер.разг.> хиве такьун, хиве кьун тахвун, гьаш авун;
ОТПУСТИТЬ;false;false;;;(ва я хъфиз) ихтияр гун;;;;
ОТРЕКОМЕНДОВАТЬ;false;false;;;(вуж ва гьихьтинди ятIа лагьана къалурун (са кас);;;;
ОТТИСК;false;false;;;;;;<типог.> оттиск;
ОТТИСНУТЬ;false;false;;;;;;<типог.> оттиск акъудун;
ОХВОСТЬЕ;false;false;;;(кукIварай душманрикай амукьай) ттумар-кьилер, амукьаяр;;;<с.-х.> кьаматIар, хкатай кьилер, ричIинар (сифте юг вигьейла хкатна амукьай);
ОХЛАДИТЬ;false;false;;;(рикIе са гьисс, ашкъи ва мсб;;;;
ОЧЕРК;false;false;;;;;;<лит.> са затIунин, са кардин шикил, къалурзавай, гьикаядив мукьва тир жуьреда гуьзелдиз кхьенвай макъала хьтинди.;
РАБКОР;false;false;;;({рабочий корреспондент}) рабкор (газетдиз хабарар кхьидай рабочий);;;;
РАБФАК;false;false;;;({рабочий факультет}) рабфак (школадин са жуьре, исятда амач);;;;
РАВЕЛИН;false;false;;;;;;<воен.уст.> равелин (къеледин вилик патай гьадахъ гилигнавай дарамат, кIвал, пай);
РАВНЕНИЕ;false;false;;;;;;<воен.> дуьз хьухь;
РАГУ;false;false;;;;;;<ср.нескл.> рагу (куьлуьз куьткуьнай якIун ва я балугьдин къавурма хьтин хуьрек);
РАЗБИРАТЕЛЬСТВО;false;false;;;;;;<мн.нет.юр.> кардиз килигун;
РАЗБОЛТАТЬСЯ;false;false;;;;;;<пер.разг.> гьакI кIвалах тийиз гьатна чIур хьун;
РАЗБОРКА;false;false;;;;;;;чукIурна къахчун (мес. кIвал, мал{
РАЗБРОСАТЬ;false;false;;;(гьарнихъ) гадрун;;;;
РАЗВАЛИНА;false;false;;;;;;<пер.разг.> тIакь атIанвай (цIвегь кумачир) кас, гьал амачир кас, лап гьалдай фенвай кас (кьуьзуь хьана ва я азарлувилик);
РАЗВИНТИТЬ;false;false;;;;;;<пер.разг.> бушрун, чIурун (рикI, инсан, нервияр);
РАЗВИНТИТЬСЯ;false;false;;;;;;<пер.разг.> буш хьун (мес. нервияр), галатна чIур хьун (мес. вичивай вич хуьз тежез, фад хъел къвез);
РАЗВИТЬ;false;false;;;;;;;гужлу авун{
РАЗВОЛНОВАТЬ;false;false;;;;;;<пер.разг.> кIевиз (аке) къалабулух кутун, еке теспачавал кутун, рикIик секинсузвал кутун;
РАЗВЯЗКА;false;false;;;;;;<лит.> развязка, эхир (литературадин произведениеда кар куьтягь жезвай эхир кьил);
РАЗГОРАЖИВАТЬСЯ;false;false;;;;;;<несов.см.> 1) {разгородиться};
РАЗГРУЖАТЬ;false;false;;;;;;<несов.см.> {разгрузить};
РАЗГРУЖАТЬСЯ;false;false;;;;;;<несов.см.> 1) {рзагрузиться};
РАЗДАВАТЬ;false;false;;;;;;<несов.см> {раздать};
РАЗДАВИТЬ;false;false;;;(балкIандин кIвачерик, машиндик) кутуна кьин;;;;
РАЗДЕЛАТЬ;false;false;;;;;;<пер.разг.> вижеваз галукьрун, дяве авун;
РАЗДЕЛЫВАТЬ;false;false;;;;;;<несов.см.> {разделать};
РАЗДОЛЬЕ;false;false;;;;;;<пер.разг.> гъил-кIвач ахъаз азадвал, жув-жуван ихтиярда хьун, кеф;
РАЗЖАЛОВАТЬ;false;false;;;(къуллугъдай ва я чиндай) агъуз вигьин, агъуз авун;;;;
РАЗЛАМЫВАТЬ;false;false;;;;;;<несов.см.> {разломать} и {разломить};
РАЗМАЗАТЬ;false;false;;;;;;<пер.разг.> нубатсуз (герексуз) яргъи  авун (мес. эхтилат);
РАЗМАЗНЯ;false;false;;;;;;<ж.пер.> гъуьргъуь еб хьтин инсан, буш кас;
РАЗМАЗЫВАТЬ;false;false;;;;;;<несов.см.> {размазать};
РАЗМАЛЕВЫВАТЬ;false;false;;;;;;<несов.см.> {размалевать};
РАЗМАХНУТЬСЯ;false;false;;;;;;<пер.разг.> гзаф гъил ахъаюн, гагьеншрун (яшамиш хьунин, са кардин къене);
РАЗМНОЖАТЬ;false;false;;;;;;<несов.см.> {размножить};
РАЗНО;false;false;;;;;;<нареч.> жуьреба-жуьре;
РАЗНУЗДЫВАТЬСЯ;false;false;;;;;;<несов.см.> 1) {разнуздаться};
РАЗОБЛАЧАТЬ;false;false;;;;;;<несов.см.> {разоблачить};
РАЗОГНАТЬ;false;false;;;;;;<типог.> чка гзаф кьадайвал авун;
РАЗОЧАРОВЫВАТЬСЯ;false;false;;;;;;<несов.см.> 1) {разочароваться};
РАЗРИСОВАТЬ;false;false;;;;;;<пер.разг.> бегьем шикил къалурун (лугьун);
РАЗРЯДКА;false;false;;;;;;<типог.> разрядка (гьарфар чеб-чпивай тIимил къакъудна ара гваз кIватIун);
РАЗУКРУПНЯТЬСЯ;false;false;;;;;;<несов.см.> 1) {разукрупниться};
РАЙКОМ;false;false;;;({районный. комитет}) райком (райондин комитет);;;;
РАЙСОВЕТ;false;false;;;({районный совет}) райсовет (райондин совет);;;;
РАК;false;false;;;;;;<мн.нет.мед.> рак (бедендин винел пата ва я къене, мес. руфуна, акъатдай гьарнихъ хилер чукIурдай гзаф пис ккар, дакIуна хьайи хер);
РАМКА;false;false;;;;;;<мн.пер.> сергьятар;
РАНТЬЕ;false;false;;;;;;<м.нескл.> рантье (капиталист уьлквейра зегьмет чIугван тийиз файдада гайи пулунилай къачудай процентрал ва я мулкунилай къведай дахуддал яшамиш жезвай кас);
РАСКАИВАТЬСЯ;false;false;;;;;;<несов.см.> {раскаяться};
РАСКОПКА;false;false;;;;;;<мн.нет.м.> {раскопать}:;
РАСКРЕПОЩАТЬСЯ;false;false;;;;;;<несов.см.> 1) {раскрепоститься};
РАСПАКОВЫВАТЬСЯ;false;false;;;;;;<несов.см.> 1) {распаковаться};
РАСПИСЫВАТЬ;false;false;;;;;;<несов.см.> {расписать};
РАСПИХИВАТЬ;false;false;;;;;;<несов.см.> {распихать};
РАСПЛАТА;false;false;;;;;;<см.> {расплатиться};
РАСПОРЯЖАТЬСЯ;false;false;;;;;;<см.> {распорядиться};
РАСПРЕДЕЛЯТЬСЯ;false;false;;;;;;<несов.см.> 1) {распределиться};
РАССКАЗ;false;false;;;;;;<лит.> гьикая, рассказ;
РАССЫПАТЬ;false;false;;;(жергеда сад-садавай къакъудна) араяр аваз акъвазрун;;;;
РАСТАЩИТЬ;false;false;;;(гьарнихъ) къакъудун, ччара авун;;;;
РАСТЛЕВАТЬ;false;false;;;;;;<несов.см> {растлить};
РАСТРЕСКИВАТЬСЯ;false;false;;;;;;<несов.см> {растрескаться};
РАФИНИРОВАТЬ;false;false;;;;;;<тех.> рафинироватун, михьивун (техникадин са продукт, мес. нафт, маса затIарикай михьивун);
РЕАБИЛИТИРОВАТЬ;false;false;;;(судди) туьгьметдикай хкудун, михьи яз гьисабун;;;;
РЕВЕТЬ;false;false;;;(гару, вацIу);;;;
РЕВКОМ;false;false;;;({революционный комитет}) ревком (Октябрдин революциядиз гьазур жедайла дяведин революционный комитет ва гуьгъуьнлай совет власть хьайила граждан дяведин чIавуз совет властдин орган тир революционный комитет);;;;
РЕВТРИБУНАЛ;false;false;;;({революционный трибунал}) ревтрибунал (революциядин трибунал);;;;
РЕГИСТРИРОВАТЬСЯ;false;false;;ЗАГС-да жув (чеб) регистрация авун;;;;;
РЕДКОЛЛЕГИЯ;false;false;;;({редакционная коллегия}) редколлегия (редакциядин коллегия);;;;
РЕДУТ;false;false;;;;;;<воен.ист.> редут (дяведин майданда дерин сенгердин са жуьре);
РЕЗОНАНС;false;false;;;;;;<физ.> резонанс (кIвалин къене манидин, рахунрин ва я маса ван ийидай затIунин ван цлара ва къавара акьуна хкаж хьунин, гужлу хьунин, элкъуьн хъувунин бажарагъвал;
РЕМОНТЁР;false;false;;;;;;<воен.уст.> ремонтёр (кьушундиз кими тир балкIанар маса къачудай дяведин къуллугъэгьли);
РЕПЕТИРОВАТЬ;false;false;;;;;;<театр.> репетиция авун;
РЕПЛИКА;false;false;;;;;;<театр.> актёрдин рахунрин эхиримжи гаф, сегьнеда актёрдин жавабдин гаф;
РЖА;false;false;;;;;;<мн.нет.уст.обл.> см. {ржавчина};
РОДИНА;false;false;;;;;{наша родина-СССР }чи ватан СССР я;;
РОДИТЕЛЬ;false;false;;;;;;<уст.м> буба;
РОЖА;false;false;;;;;;<мн.нет.мед.> рожа (мубарак, ччинин са чка яру хьана дакIвадай азар);
РОЗГИ;false;false;;;;;;<мн.уст.> тIвалар вигьин, гатун, тIваларалди гатун;
РОК;false;false;;;;;;<мн.нет.ист.> кьаза-кьадар;
РОЛИКИ;false;false;;;;;;<ед.нет.спорт.> роликар (бицIи чархарал алай конькияр);
РОМАН;false;false;;;;;;<лит.> роман (литературадин гуьзелдиз туькIуьрнавай, гзаф инсанар ва вакъиаяр квай яргъи  кьиса);
РОМАНТИЧЕСКИЙ;false;false;;;;;;<лит.> романдиз талукь тир;
РОНДО;false;false;;;;;;<нескл.муз.> рондо (музыкадин кьетIен жуьредин пьеса, гьава);
РОССКАЗНИ;false;false;;;;;;<ед.нет.разг.> вичи-вичиз туькIуьрай эхтилатар, кьуру махар, тапарар;
РОССЫПЬ;false;false;;;;;;<ж.геол.> мяден, мядендин къатар (мес. къизил ва маса металлар квай чка);
РОТ;false;false;;;;;;<пер.разг.> кьил, кас, недай кас;
РУГНУТЬ;false;false;;;;;;<однокр.разг.> экъуьгъун, себ гун;
РЫСЬ;false;false;;;;;;<ж.зоол.> машах (чIуран кацин жинсиникай са гьайван);
РЫХЛЫЙ;false;false;;;;;;<пер.разг.> буш;
РЯВКНУТЬ;false;false;;;;;;<однокр.разг.> кIевиз гьараюн;
ТАВРИТЬ;false;false;;;;;;<несов.спец.> дамгъа эцигун, дамгъа ягъун;
ТАКИ;false;false;;;;;;<частица.разг.> ятIани;
ТАК КАК;true;false;;;;;;;
ТАКСИ;false;false;;;;;;<нескл.ср> такси (фейи рекьин кьадардиз килигай къимет къачуз инсанар ва я ппар тухудай автомобиль я);
ТАК-ТАКИ;false;false;;;;;;<частица.разг.> гьакI;
ТАРЕЛКА;false;false;;;(хуьрекдин) бушкъаб, тарелка.;;;;
Т.Е.;true;true;;;;;;;
ТЕРМОДИНАМИКА;false;false;;;;;;<мн.нет.физ.> термодинамика (чимивал ахтармишдай ва ам энергиядин маса жуьрейриз элкъуьрунин месэлайрикай рахадай илим);
ТЕРНИИ;false;false;;;;;;<уст.> цацар;
ТЕРРОРИЗОВАТЬ;false;false;;;;;;<полит.> террордалди кичIерар гун, террордалди жаздандал гъун;
ТЕХМИНИМУМ;false;false;;;({технический минимум)} техминимум (са кардин техникадикай лап чарасуз хьана кIандай чирвилерин кьадар);;;;
ТЕХНОРУК;false;false;;;({технический руководитель}) технорук (техникадин жигьетдай рехъ къалурдай, регьбервалдай кас);;;;
ТЕХПЕРСОНАЛ;false;false;;;({технический персонал}). техперсонал, технический къуллугъчияр (кардин техникадин жигьетдиз килигдай къуллугъчияр);;;;
ТИП;false;false;;;;;;<лит.> вичик инсанрин са малум группадиз хас тир лишанар, къилихар умумиламишна квай шикил, суьрет, кас.;
ТИПИЗАЦИЯ;false;false;;;;;;<мн.нет> типламишун, типриз ччара авун;
ТИПУН;false;false;;;;;;<мн.нет.спец.> къушарин мацин кIвенкIвел экъечIдай чIаха-чIахдин ккар (азар).;
ТИРАЖ;false;false;;;;;;<типог.> са затIунин, са ктабдин басмадай акъудзавай кьадар;
ТИСКАТЬ;false;false;;;;;;<типог.> басма авун, илисна чарчиз акъудун (басма ийиз дуьзмишнавай гьарфар);
ТИСНУТЬ;false;false;;;;;;<типог.> <см.> {тискать} 2-манада;
ТИТАН;false;false;;;;;;<мн.нет.хим.> титан (гимиш хьтин лацу металл);
ТКНУТЬ;false;false;;;(тIуб) туькIуьрун, (тIуб) туькIуьрна къалурун;;;;
